,game_id,season,home_team,away_team,down,game_date,game_half,game_seconds_remaining,play_type,ydstogo,yardline_100,posteam,qtr,side_of_field,defteam,side_of_field,posteam_score,defteam_score,roof,surface,temp,wind,stadium
26570,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half1,2700.0,punt,5,59.0,CAR,2,CAR,DEN,CAR,7.0,0.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26571,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half1,1915.0,punt,7,72.0,DEN,2,DEN,CAR,DEN,7.0,14.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26572,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half2,1593.0,punt,1,56.0,CAR,3,CAR,DEN,CAR,17.0,7.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26573,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half2,1366.0,punt,10,89.0,CAR,3,CAR,DEN,CAR,17.0,7.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26574,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half2,1251.0,punt,9,85.0,DEN,3,DEN,CAR,DEN,7.0,17.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26575,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half2,1150.0,punt,17,68.0,CAR,3,CAR,DEN,CAR,17.0,7.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26576,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half2,646.0,run,1,2.0,DEN,4,CAR,CAR,CAR,14.0,17.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26577,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half2,265.0,field_goal,5,18.0,CAR,4,DEN,DEN,DEN,17.0,21.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26578,2016090800,2016,DEN,CAR,4.0,2016-09-08,Half2,197.0,punt,17,82.0,DEN,4,DEN,CAR,DEN,21.0,20.0,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High
26579,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,3484.0,punt,1,72.0,ATL,1,ATL,TB,ATL,0.0,0.0,dome,fieldturf,,,Georgia Dome
26580,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,3297.0,field_goal,16,25.0,TB,1,ATL,ATL,ATL,0.0,0.0,dome,fieldturf,,,Georgia Dome
26581,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,3133.0,field_goal,10,16.0,ATL,1,TB,TB,TB,0.0,3.0,dome,fieldturf,,,Georgia Dome
26582,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,3046.0,punt,3,68.0,TB,1,TB,ATL,TB,3.0,3.0,dome,fieldturf,,,Georgia Dome
26583,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,2965.0,punt,4,58.0,ATL,1,ATL,TB,ATL,3.0,3.0,dome,fieldturf,,,Georgia Dome
26584,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,2223.0,punt,9,44.0,ATL,2,TB,TB,TB,10.0,10.0,dome,fieldturf,,,Georgia Dome
26585,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,2108.0,punt,10,91.0,TB,2,TB,ATL,TB,10.0,10.0,dome,fieldturf,,,Georgia Dome
26586,2016091100,2016,ATL,TB,4.0,2016-09-11,Half1,1910.0,field_goal,16,16.0,ATL,2,TB,TB,TB,10.0,10.0,dome,fieldturf,,,Georgia Dome
