,game_id,season,home_team,away_team,down,game_date,game_half,game_seconds_remaining,play_type,ydstogo,yardline_100,posteam,qtr,side_of_field,defteam,side_of_field,posteam_score,defteam_score,roof,surface,temp,wind,stadium
3813,2010090900,2010,NO,MIN,4.0,2010-09-09,Half1,3361.0,punt,3,73.0,MIN,1,MIN,NO,MIN,0.0,7.0,dome,sportturf,,,Louisiana Superdome
3814,2010090900,2010,NO,MIN,4.0,2010-09-09,Half1,3266.0,punt,10,73.0,NO,1,NO,MIN,NO,7.0,0.0,dome,sportturf,,,Louisiana Superdome
3815,2010090900,2010,NO,MIN,4.0,2010-09-09,Half1,3038.0,punt,3,52.0,MIN,1,MIN,NO,MIN,0.0,7.0,dome,sportturf,,,Louisiana Superdome
3816,2010090900,2010,NO,MIN,4.0,2010-09-09,Half1,2700.0,punt,8,40.0,NO,2,MIN,MIN,MIN,7.0,0.0,dome,sportturf,,,Louisiana Superdome
3817,2010090900,2010,NO,MIN,4.0,2010-09-09,Half1,2132.0,field_goal,9,23.0,MIN,2,NO,NO,NO,0.0,7.0,dome,sportturf,,,Louisiana Superdome
3818,2010090900,2010,NO,MIN,4.0,2010-09-09,Half1,2039.0,punt,19,77.0,NO,2,NO,MIN,NO,7.0,3.0,dome,sportturf,,,Louisiana Superdome
3819,2010090900,2010,NO,MIN,4.0,2010-09-09,Half1,1884.0,field_goal,9,28.0,NO,2,MIN,MIN,MIN,7.0,3.0,dome,sportturf,,,Louisiana Superdome
3820,2010090900,2010,NO,MIN,4.0,2010-09-09,Half2,1688.0,punt,3,61.0,MIN,3,MIN,NO,MIN,9.0,7.0,dome,sportturf,,,Louisiana Superdome
3821,2010090900,2010,NO,MIN,4.0,2010-09-09,Half2,1213.0,punt,9,83.0,MIN,3,MIN,NO,MIN,9.0,14.0,dome,sportturf,,,Louisiana Superdome
3822,2010090900,2010,NO,MIN,4.0,2010-09-09,Half2,1085.0,punt,6,65.0,NO,3,NO,MIN,NO,14.0,9.0,dome,sportturf,,,Louisiana Superdome
3823,2010090900,2010,NO,MIN,4.0,2010-09-09,Half2,1000.0,punt,13,72.0,MIN,3,MIN,NO,MIN,9.0,14.0,dome,sportturf,,,Louisiana Superdome
3824,2010090900,2010,NO,MIN,4.0,2010-09-09,Half2,927.0,punt,9,73.0,NO,3,NO,MIN,NO,14.0,9.0,dome,sportturf,,,Louisiana Superdome
3825,2010090900,2010,NO,MIN,4.0,2010-09-09,Half2,891.0,punt,7,84.0,MIN,4,MIN,NO,MIN,9.0,14.0,dome,sportturf,,,Louisiana Superdome
